Iteration,BatchSize,CreateTable,CreateTableTime,BulkCopyTime,SelectTime,ExecutionPlan,
        78,              1,           5,         4,   unlogged,    10000,"HashAggregate Seq Scan"
        79,              1,           6,         6,   unlogged,    10000,"HashAggregate Seq Scan"
        80,              1,           7,         6,   unlogged,    10000,"HashAggregate Seq Scan"
        81,              1,           7,         6,   unlogged,    10000,"HashAggregate Seq Scan"
        82,              1,           6,         6,   unlogged,    10000,"HashAggregate Seq Scan"
        83,              1,           6,         6,   unlogged,    10000,"HashAggregate Seq Scan"
        84,              1,           6,         6,   unlogged,    10000,"HashAggregate Seq Scan"
        85,              2,           6,         4,   unlogged,    10000,"HashAggregate Seq Scan"
        86,              1,           6,         4,   unlogged,    10000,"HashAggregate Seq Scan"
        87,              2,           5,         4,   unlogged,    10000,"HashAggregate Seq Scan"
        88,              1,           5,         3,   unlogged,    10000,"HashAggregate Seq Scan"
        89,              1,           5,         4,   unlogged,    10000,"HashAggregate Seq Scan"
        90,              1,           5,         4,   unlogged,    10000,"HashAggregate Seq Scan"
        91,              1,           6,         3,   unlogged,    10000,"HashAggregate Seq Scan"
        92,              2,           7,         4,   unlogged,    10000,"HashAggregate Seq Scan"
        93,              1,           6,         4,   unlogged,    10000,"HashAggregate Seq Scan"
        94,              1,           6,         6,   unlogged,    10000,"HashAggregate Seq Scan"
        95,              1,           7,         6,   unlogged,    10000,"HashAggregate Seq Scan"
        96,              1,           6,         5,   unlogged,    10000,"HashAggregate Seq Scan"
        97,              1,           6,         6,   unlogged,    10000,"HashAggregate Seq Scan"
        98,              1,           5,         4,   unlogged,    10000,"HashAggregate Seq Scan"
        99,              1,           6,         5,   unlogged,    10000,"HashAggregate Seq Scan"
       100,              2,           7,         6,   unlogged,    10000,"HashAggregate Seq Scan"
       101,              2,           7,         6,       temp,    10000,"HashAggregate Seq Scan"
       102,              1,           7,         7,       temp,    10000,"HashAggregate Seq Scan"
       103,              1,           5,         6,       temp,    10000,"HashAggregate Seq Scan"
       104,              1,           6,         4,       temp,    10000,"HashAggregate Seq Scan"
       105,              1,           6,         3,       temp,    10000,"HashAggregate Seq Scan"
       106,              1,           6,         3,       temp,    10000,"HashAggregate Seq Scan"
       107,              0,           6,         5,       temp,    10000,"HashAggregate Seq Scan"
       108,              1,           5,         5,       temp,    10000,"HashAggregate Seq Scan"
       109,              1,           6,         4,       temp,    10000,"HashAggregate Seq Scan"
       110,              1,           5,         4,       temp,    10000,"HashAggregate Seq Scan"
       111,              1,           6,         4,       temp,    10000,"HashAggregate Seq Scan"
       112,              1,           5,         5,       temp,    10000,"HashAggregate Seq Scan"
       113,              1,           5,         3,       temp,    10000,"HashAggregate Seq Scan"
       114,              2,           5,         3,       temp,    10000,"HashAggregate Seq Scan"
       115,              1,           5,         4,       temp,    10000,"HashAggregate Seq Scan"
       116,              0,           5,         5,       temp,    10000,"HashAggregate Seq Scan"
       117,              1,           7,         3,       temp,    10000,"HashAggregate Seq Scan"
       118,              1,           7,         3,       temp,    10000,"HashAggregate Seq Scan"
       119,              2,           5,         3,       temp,    10000,"HashAggregate Seq Scan"
       120,              1,           5,         5,       temp,    10000,"HashAggregate Seq Scan"
       121,              1,           6,         4,       temp,    10000,"HashAggregate Seq Scan"
       122,              1,           4,         4,       temp,    10000,"HashAggregate Seq Scan"
       123,              1,           6,         3,       temp,    10000,"HashAggregate Seq Scan"
       124,              0,           5,         4,       temp,    10000,"HashAggregate Seq Scan"
       125,              1,           4,         4,       temp,    10000,"HashAggregate Seq Scan"
       126,              1,           6,         3,       temp,    10000,"HashAggregate Seq Scan"
       127,              1,           5,         4,       temp,    10000,"HashAggregate Seq Scan"
       128,              0,           5,         4,       temp,    10000,"HashAggregate Seq Scan"
       129,              1,           5,         4,       temp,    10000,"HashAggregate Seq Scan"
       130,              1,           6,         4,       temp,    10000,"HashAggregate Seq Scan"
       131,              2,           6,         3,       temp,    10000,"HashAggregate Seq Scan"
       132,              1,           6,         4,       temp,    10000,"HashAggregate Seq Scan"
       133,              0,           5,         4,       temp,    10000,"HashAggregate Seq Scan"
       134,              1,           5,         4,       temp,    10000,"HashAggregate Seq Scan"
       135,              1,           5,         3,       temp,    10000,"HashAggregate Seq Scan"
       136,              1,           5,         3,       temp,    10000,"HashAggregate Seq Scan"
       137,              1,           6,         5,       temp,    10000,"HashAggregate Seq Scan"
       138,              1,           5,         4,       temp,    10000,"HashAggregate Seq Scan"
       139,              2,           6,         3,       temp,    10000,"HashAggregate Seq Scan"
       140,              1,           6,         3,       temp,    10000,"HashAggregate Seq Scan"
       141,              0,           5,         5,       temp,    10000,"HashAggregate Seq Scan"
       142,              1,           5,         3,       temp,    10000,"HashAggregate Seq Scan"
       143,              2,           6,         3,       temp,    10000,"HashAggregate Seq Scan"
       144,              0,           6,         4,       temp,    10000,"HashAggregate Seq Scan"
       145,              1,           5,         5,       temp,    10000,"HashAggregate Seq Scan"
       146,              1,           7,         4,       temp,    10000,"HashAggregate Seq Scan"
       147,              1,           5,         3,       temp,    10000,"HashAggregate Seq Scan"
       148,              2,           5,         3,       temp,    10000,"HashAggregate Seq Scan"
       149,              1,           6,         4,       temp,    10000,"HashAggregate Seq Scan"
       150,              1,           5,         4,       temp,    10000,"HashAggregate Seq Scan"
       151,              1,           6,         4,    regular,    13600,"HashAggregate Seq Scan"
       152,              1,           7,         5,    regular,    13600,"HashAggregate Seq Scan"
       153,              1,           8,         5,    regular,    13600,"HashAggregate Seq Scan"
       154,              1,          19,         6,    regular,    13600,"HashAggregate Seq Scan"
       155,              2,          15,         5,    regular,    13600,"HashAggregate Seq Scan"
       156,              1,           6,         6,    regular,    13600,"HashAggregate Seq Scan"
       157,              1,           6,         5,    regular,    13600,"HashAggregate Seq Scan"
       158,              1,           7,         5,    regular,    13600,"HashAggregate Seq Scan"
       159,              1,           6,         4,    regular,    13600,"HashAggregate Seq Scan"
       160,              1,           7,         4,    regular,    13600,"HashAggregate Seq Scan"
       161,              1,           7,         4,    regular,    13600,"HashAggregate Seq Scan"
       162,              1,           7,         4,    regular,    13600,"HashAggregate Seq Scan"
       163,              1,           7,         4,    regular,    13600,"HashAggregate Seq Scan"
       164,              1,           7,         4,    regular,    13600,"HashAggregate Seq Scan"
       165,              1,           6,         5,    regular,    13600,"HashAggregate Seq Scan"
       166,              1,           6,         5,    regular,    13600,"HashAggregate Seq Scan"
       167,              1,           6,         5,    regular,    13600,"HashAggregate Seq Scan"
       168,              1,           6,         5,    regular,    13600,"HashAggregate Seq Scan"
       169,              2,           6,         4,    regular,    13600,"HashAggregate Seq Scan"
       170,              1,           7,         5,    regular,    13600,"HashAggregate Seq Scan"
       171,              2,           6,         5,    regular,    13600,"HashAggregate Seq Scan"
       172,              1,           7,         4,    regular,    13600,"HashAggregate Seq Scan"
       173,              1,           7,         5,    regular,    13600,"HashAggregate Seq Scan"
       174,              1,           7,         5,    regular,    13600,"HashAggregate Seq Scan"
       175,              1,           7,         6,    regular,    13600,"HashAggregate Seq Scan"
       176,              1,           7,         5,    regular,    13600,"HashAggregate Seq Scan"
       177,              1,           8,         5,    regular,    13600,"HashAggregate Seq Scan"
       178,              1,           7,         5,    regular,    13600,"HashAggregate Seq Scan"
       179,              1,           6,         5,    regular,    13600,"HashAggregate Seq Scan"
       180,              1,           7,         5,    regular,    13600,"HashAggregate Seq Scan"
       181,              1,           7,         5,    regular,    13600,"HashAggregate Seq Scan"
       182,              1,           8,         8,    regular,    13600,"HashAggregate Seq Scan"
       183,              1,           7,         6,    regular,    13600,"HashAggregate Seq Scan"
       184,              1,           7,         6,    regular,    13600,"HashAggregate Seq Scan"
       185,              1,          17,         6,    regular,    13600,"HashAggregate Seq Scan"
       186,              2,          19,         5,    regular,    13600,"HashAggregate Seq Scan"
       187,              1,          16,         5,    regular,    13600,"HashAggregate Seq Scan"
       188,              1,           8,         5,    regular,    13600,"HashAggregate Seq Scan"
       189,              1,           7,         6,    regular,    13600,"HashAggregate Seq Scan"
       190,              1,           7,         5,    regular,    13600,"HashAggregate Seq Scan"
       191,              1,           6,         5,    regular,    13600,"HashAggregate Seq Scan"
       192,              2,           8,         4,    regular,    13600,"HashAggregate Seq Scan"
       193,              1,           6,         4,    regular,    13600,"HashAggregate Seq Scan"
       194,              2,           7,         5,    regular,    13600,"HashAggregate Seq Scan"
       195,              1,           8,         5,    regular,    13600,"HashAggregate Seq Scan"
       196,              1,           7,         5,    regular,    13600,"HashAggregate Seq Scan"
       197,              1,           7,         6,    regular,    13600,"HashAggregate Seq Scan"
       198,              1,           7,         6,    regular,    13600,"HashAggregate Seq Scan"
       199,              1,           6,         4,    regular,    13600,"HashAggregate Seq Scan"
       200,              1,           7,         4,    regular,    13600,"HashAggregate Seq Scan"
       201,              2,          16,         5,   unlogged,    13600,"HashAggregate Seq Scan"
       202,              1,          16,         5,   unlogged,    13600,"HashAggregate Seq Scan"
       203,              1,          16,         5,   unlogged,    13600,"HashAggregate Seq Scan"
       204,              1,          14,         5,   unlogged,    13600,"HashAggregate Seq Scan"
       205,              2,          17,         4,   unlogged,    13600,"HashAggregate Seq Scan"
       206,              1,          15,         5,   unlogged,    13600,"HashAggregate Seq Scan"
       207,              2,          16,         5,   unlogged,    13600,"HashAggregate Seq Scan"
       208,              1,          17,         5,   unlogged,    13600,"HashAggregate Seq Scan"
       209,              2,          18,         5,   unlogged,    13600,"HashAggregate Seq Scan"
       210,              1,          19,        11,   unlogged,    13600,"HashAggregate Seq Scan"
       211,              2,          19,        12,   unlogged,    13600,"HashAggregate Seq Scan"
       212,              3,          13,         5,   unlogged,    13600,"HashAggregate Seq Scan"
       213,              1,          15,         4,   unlogged,    13600,"HashAggregate Seq Scan"
       214,              1,          16,         5,   unlogged,    13600,"HashAggregate Seq Scan"
       215,              2,          17,         4,   unlogged,    13600,"HashAggregate Seq Scan"
       216,              1,          17,         6,   unlogged,    13600,"HashAggregate Seq Scan"
       217,              1,          17,         5,   unlogged,    13600,"HashAggregate Seq Scan"
       218,              1,          17,         6,   unlogged,    13600,"HashAggregate Seq Scan"
       219,              1,          16,         4,   unlogged,    13600,"HashAggregate Seq Scan"
       220,              1,          17,         6,   unlogged,    13600,"HashAggregate Seq Scan"
       221,              1,          17,        11,   unlogged,    13600,"HashAggregate Seq Scan"
       222,              2,          18,        12,   unlogged,    13600,"HashAggregate Seq Scan"
       223,              1,          16,         4,   unlogged,    13600,"HashAggregate Seq Scan"
       224,              1,          17,         6,   unlogged,    13600,"HashAggregate Seq Scan"
       225,              1,          15,         4,   unlogged,    13600,"HashAggregate Seq Scan"
       226,              1,           7,         5,   unlogged,    13600,"HashAggregate Seq Scan"
       227,              1,           8,        11,   unlogged,    13600,"HashAggregate Seq Scan"
       228,              2,          16,         5,   unlogged,    13600,"HashAggregate Seq Scan"
       229,              1,          15,         4,   unlogged,    13600,"HashAggregate Seq Scan"
       230,              1,          14,         5,   unlogged,    13600,"HashAggregate Seq Scan"
       231,              1,          15,         5,   unlogged,    13600,"HashAggregate Seq Scan"
       232,              1,          16,         5,   unlogged,    13600,"HashAggregate Seq Scan"
       233,              1,          17,         4,   unlogged,    13600,"HashAggregate Seq Scan"
       234,              1,          17,        11,   unlogged,    13600,"HashAggregate Seq Scan"
       235,              2,          16,         5,   unlogged,    13600,"HashAggregate Seq Scan"
       236,              1,          17,         5,   unlogged,    13600,"HashAggregate Seq Scan"
       237,              1,          16,         4,   unlogged,    13600,"HashAggregate Seq Scan"
       238,              2,          15,         6,   unlogged,    13600,"HashAggregate Seq Scan"
       239,              1,          14,         5,   unlogged,    13600,"HashAggregate Seq Scan"
       240,              1,          14,         6,   unlogged,    13600,"HashAggregate Seq Scan"
       241,              1,          14,         4,   unlogged,    13600,"HashAggregate Seq Scan"
